pergunta;resposta
Obrigada;A Receita Federal agradece a sua visita. Conte conosco quando precisar de mais informações!
Como acompanho o envio da minha encomenda?;"Após a chegada ao país, é responsabilidade da empresa transportadora informar a localização e situação da encomenda. Informações sobre o andamento de entregas devem ser tratadas diretamente com a empresa contratada. 

Para obter informações sobre a entrega de sua encomenda, você vai precisar do código de rastreamento. 

Esse código é uma sequência de letras e números, ou somente números, usado para acompanhar todas as etapas do envio da sua encomenda. 

As encomendas dos Correios têm o código de rastreamento postal formado por duas letras seguidas de nove números e mais duas letras, da seguinte forma: LLNNNNNNNNNLL (exemplo: EE821947508US). O código de cada Courier (DHL, Fedex, UPA, etc.) segue um padrão próprio.

Se você fez uma compra através de um site internacional, peça o código ao vendedor. Existem compras internacionais sem código de rastreio, neste caso você não conseguirá monitorar a entrega.

Se sua encomenda foi transportada pelos Correios, clique <s><a href='http://www2.correios.com.br/SISTEMAS/RASTREAMENTO/'   target='_blank' >aqui</a></s>.

Caso tenha sido transportada por outra empresa, consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >a relação de empresas transportadoras habilitadas e o site de cada uma</a>."
Onde retirar a encomenda?;"A encomenda internacional é um transporte ""porta-a-porta"", ou seja, o frete contratado já inclui o despacho aduaneiro e a entrega da encomenda no endereço apontado nos documentos de importação. Dessa maneira, a transportadora é responsável por todo o processo até a entrega. Exceções à regra devem ser tratadas diretamente com a transportadora.

Você deverá acompanhar o andamento da sua encomenda <a href='http://www2.correios.com.br/SISTEMAS/RASTREAMENTO/' target='_blank' >consultando o rastreamento no site dos Correios</a> ou da empresa transportadora contratada. -

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >Consulte aqui a relação de empresas transportadoras autorizadas a operar na modalidade Remessa Expressa e o site de cada uma</a>."
Como solicitar a retomada de despacho?;"Não será possível pedir a retomada de despacho se:

• a fiscalização foi concluí­da e os tributos não foram pagos;
• algum órgão fiscalizador negou a entrada da mercadoria no país;
• a mercadoria foi apreendida pela Receita, exceto se foi apreensão por abandono.

Nos demais casos, entre em contato através dos canais de atendimento ao cliente das empresas transportadoras solicitando a retomada do despacho.

Se sua encomenda foi transportada pelos Correios, entre em contato através da <a href='https://www.correios.com.br/falecomoscorreios/central-de-atendimento'  target=_blank>Central de Atendimento</a>.

Caso tenha sido transportada por outra empresa, consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >a relação de empresas transportadoras habilitadas a trabalhar com remessa expressa e o site de cada uma</a>."
Como entro em contato?;"A responsabilidade pelo atendimento sobre encomendas internacionais é da empresa transportadora. Através dos canais de atendimento abaixo, verifique informações sobre o andamento de entregas, dúvidas sobre procedimentos ou encaminhamento de eventuais documentos necessários para liberação das encomendas.

Se a sua encomenda veio pelos Correios clique <a href='https://www.correios.com.br/falecomoscorreios/central-de-atendimento' target='_blank' >aqui</a>.

Caso tenha sido transportada por outra empresa, consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >aqui</a> a relação de empresas de courier habilitadas e o site de cada uma."
Por que meu objeto está sendo devolvido?;"Na maioria dos casos, o pedido da devolução é realizado pela transportadora por falta de pagamento do imposto/tarifa postal.

A encomenda será devolvida ao país de origem por determinação da Receita Federal nos seguintes casos:

• dados incompletos do remetente ou destinatário;
• descrição do conteúdo dos bens em branco ou com informações insuficientes para a sua correta identificação;
• não autorização da importação pelo órgão de controle administrativo (Anvisa, Exército, etc.) e nos casos em que a legislação permita a devolução.

Se você quer desistir da sua encomenda, peça a devolução para a transportadora.

Veja  <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Procedimentos#Devolucao' >os casos em que as encomendas não poderão ser devolvidas e saiba mais sobre o assunto</a>.  


Para acompanhar a devolução, use o mesmo código de rastreio do envio.

Se sua encomenda foi transportada pelos Correios, clique <a href='http://www2.correios.com.br/SISTEMAS/RASTREAMENTO/' target='_blank' >aqui e consulte o rastreamento</a>.

Caso tenha sido transportada por outra empresa, consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >a relação de empresas transportadoras habilitadas e o site de cada uma</a>."
Quais as regras para exportação de encomenda?;"Informações gerais sobre exportação de encomendas podem ser obtidas nos sites abaixo:

• <a href='https://www.correios.com.br/enviar/encomendas/internacional' target='_blank' >Envio de encomenda postal internacional - Correios</a>;
• <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >Transportadoras privadas de transporte expresso autorizadas pela Receita</a>; ou
• <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessa-postal-e-expressa' >Manual de Remessas Internacionais da Receita Federal</a>.

<b>Na exportação de encomendas, não há cobrança pela Receita Federal</b>."
O que é cobrado nas encomendas internacionais?;"A maior parte das encomendas internacionais de importação segue o Regime de Tributação Simplificada (RTS). Nesse regime é cobrado:

• Imposto de Importação: alíquota de 60% (Receita Federal);
• ICMS - Imposto Sobre Circulação de Mercadorias e Prestação de Serviços (alíquota varia conforme a legislação de cada Estado);
• Despacho Postal de R$ 15,00 (Correios).

Para que a importação seja enquadrada no RTS, os bens da encomenda deverão ter valor total de até US$ 3.000,00 (três mil dólares) ou o equivalente em outra moeda. Clique <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/tributacao#RTS' >aqui e saiba mais sobre RTS</a>.

Há casos, no entanto, de bens que não podem ser importados ao amparo do RTS. Clique <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/tributacao' >aqui e saiba mais sobre outros regimes de tributação</a>.

Na exportação de encomendas, não há cobrança pela Receita Federal.

Cuidado com golpes! O pagamento de impostos não é feito por transferência bancária ou depósito em conta.  Veja a reportagem onde a <a href='https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2021/marco/receita-federal-faz-alerta-sobre-fraudes-envolvendo-o-nome-da-instituicao' >Receita Federal faz alerta sobre fraudes envolvendo o nome da instituição</a>."
O que é a tarifa de despacho postal? ;"O Despacho Postal de R$ 15,00 será cobrado pelos Correios pela prestação de serviços.

Todas as encomendas recebidas no Brasil, independentemente de serem tributadas ou não, estão sujeitas à cobrança deste serviço. O pagamento deve ser realizado na <a href='https://correios-sedex.com/enviar-e-receber/importacao/ambiente-minhas-importacoes.html' >Plataforma Minhas Importações, dos Correios</a>.

Se tiver dúvidas sobre esse valor ou formas de pagamento, entre em contato com a <a href='https://www.correios.com.br/falecomoscorreios/central-de-atendimento' target='_blank' >Central de Atendimento dos Correios</a>.

Clique <a href='https://www.correios.com.br/receber/encomenda/saiba-mais-internacional' target='_blank' >aqui e saiba mais sobre o Despacho Postal</a>."
Como é calculado o imposto de importação? ;"Na importação, é cobrado 60% de Imposto de Importação sobre a soma do valor dos bens + frete + seguro.

O valor dos bens pode ser:

• o preço de compra, se você comprou no exterior; ou
• o valor declarado pelo remetente, se você recebeu os bens sem custo. Por exemplo: brindes, amostras ou presentes. 

O valor declarado pelo rementente deve ser equivalente ao preço normalmente cobrado por bens idênticos ou similares. Se for constatado que o remetente declarou valor menor que o praticado no mercado, pode ser aplicada multa. 

Para converter o valor aduaneiro para reais, será aplicada a taxa de câmbio vigente na data de registro da Declaração de Importação de encomendas (DIR).

Clique <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/tributacao#base' >aqui e saiba mais sobre a base de cálculo e o cálculo do imposto</a>.

Na exportação de encomendas, não há cobrança pela Receita Federal.

Se você foi cobrado e não concorda com o valor, clique <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >aqui para saber mais sobre o pedido de revisão</a>.

Cuidado com golpes! O pagamento de impostos não é feito por transferência bancária ou depósito em conta.  Veja a reportagem onde a <a href='https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2021/marco/receita-federal-faz-alerta-sobre-fraudes-envolvendo-o-nome-da-instituicao' >Receita Federal faz alerta sobre fraudes envolvendo o nome da instituição</a>."
